company_name,website,company_type,city,state,contact_first_name,contact_last_name,job_title,email,email_type,verification_status,verification_method,source_url,date_verified
NH CORE Properties,https://www.nhcoreproperties.com,General Contractor,Manchester,New Hampshire,,,Construction Services,info@nhcoreproperties.com,Role-Based,Verified - Published Official Website,Official website,https://www.nhcoreproperties.com/services/construction,2026-09-11
Solid Roots Construction LLC,https://www.srcnh.com,Commercial Contractor,Concord,New Hampshire,James,Kelley,Principal,jkelley@srcnh.com,Named,Verified - Published Official Website,Official website,https://www.srcnh.com/,2026-09-11
Harvey Construction,https://www.harveyconstruction.com,General Contractor,Bedford,New Hampshire,,,General Contractor,info@hccnh.com,Role-Based,Verified - Published Directory,NH Business Review business directory,https://directory.nhbr.com/places/view/360/harvey_construction.html,2026-09-11
Groen Construction Inc.,https://groenconstruction.com,Commercial Contractor,Rochester,New Hampshire,,,General Contractor,info@groenconstruction.com,Role-Based,Verified - Published Official Website,Official website,https://groenconstruction.com/contact-us,2026-09-11
Conneston Construction Inc.,https://www.ccinh.com,Commercial Contractor,Gilford,New Hampshire,,,Commercial Construction,info@ccinh.com,Role-Based,Verified - Published Official Website,Official website,https://www.ccinh.com/services,2026-09-11
North & South Construction,https://www.northsouthnh.com,General Contractor,Newington,New Hampshire,,,Construction,info@northsouthnh.com,Role-Based,Verified - Published Official Website,Official website,https://www.northsouthnh.com/contact.html,2026-09-11
Springwood Homes & Development Corp.,https://springwoodhomesnh.com,Custom Homebuilder,Manchester,New Hampshire,,,Builder and Developer,builder@springwoodhomes.net,Role-Based,Verified - Published Official Website,Official website,https://springwoodhomesnh.com/contact,2026-09-11
Legacy Homes Inc.,https://legacyhomesnh.com,Custom Homebuilder,Manchester,New Hampshire,,,Custom Home Builder,info@legacyhomesnh.com,Role-Based,Verified - Published Official Website,Official website,https://legacyhomesnh.com/contact.php,2026-09-11
NH Custom Builder,https://nhcustombuilder.com,Custom Homebuilder,Amherst,New Hampshire,,,Custom Homes and Remodeling,info@nhcustombuilder.com,Role-Based,Verified - Published Official Website,Official website,https://nhcustombuilder.com/contact-us,2026-09-11
SRH Homes,https://www.srhhomes.com,Custom Homebuilder,Hampton,New Hampshire,,,General Inquiries,build@srhhomes.com,Role-Based,Verified - Published Official Website,Official website,https://www.srhhomes.com/contact,2026-09-11
Old Hampshire Designs Inc.,https://oldhampshiredesigns.com,Custom Homebuilder,New London,New Hampshire,,,Custom Home Design,ohd@oldhampshiredesigns.com,Role-Based,Verified - Published Official Website,Official website,https://oldhampshiredesigns.com/contact,2026-09-11
PHB Architects PLLC,https://phbarchitects.com,Architecture,Manchester,New Hampshire,Paul,,Architect,paul@phbarchitects.com,Named,Verified - Published Official Website,Official website,https://phbarchitects.com/contact-us,2026-09-11
RWH Architect,https://www.rwh-architect.com,Architecture,Salem,New Hampshire,Rob,,Architect,rob@rwh-architect.com,Named,Verified - Published Official Website,Official website,https://www.rwh-architect.com/contact,2026-09-11
Tony Fallon Architecture,https://tonyfallon.com,Architecture,Wolfeboro,New Hampshire,Tony,Fallon,Architect,tony@tonyfallon.com,Named,Verified - Published Official Website,Official website,https://tonyfallon.com/contact,2026-09-11
TMS Architects & Interiors,https://www.tmsarchitects.com,Architecture,Portsmouth,New Hampshire,,,Architecture and Interiors,info@tms-architects.com,Role-Based,Verified - Published Official Website,Official website,https://www.tmsarchitects.com/contact,2026-09-11
BMA Architectural Group,https://www.bmaworld.com,Architecture,Amherst,New Hampshire,,,Architecture,info@bmaworld.com,Role-Based,Verified - Published Official Website,Official website,https://www.bmaworld.com/contact,2026-09-11
AG Architects PC,https://agarchitects.com,Architecture,Dover,New Hampshire,Arthur,Guadano,Architect,aga@agarchitects.com,Named,Verified - Published Directory,NH Business Review architectural firms directory,https://www.nhbr.com/list-of-architectural-firms,2026-09-11
ALBA Architects LLP,https://albaarchitects.com,Architecture,North Woodstock,New Hampshire,Philip,Bennett,Architect,info@albaarchitects.com,Role-Based,Verified - Published Directory,NH Business Review architectural firms directory,https://www.nhbr.com/list-of-architectural-firms,2026-09-11
SMP Architecture,https://sheerr.com,Architecture,Concord,New Hampshire,Jason,LaCombe,Architect,jlacombe@sheerr.com,Named,Verified - Published Directory,NH Business Review architectural firms directory,https://www.nhbr.com/list-of-architectural-firms,2026-09-11
SISR Architecture LLC,https://sisr.us,Architecture,Marlow,New Hampshire,Douglas,Stewart,Architect,doug@sisr.us,Named,Verified - Published Directory,NH Business Review architectural firms directory,https://www.nhbr.com/list-of-architectural-firms,2026-09-11
Banwell Architects NH Inc.,https://www.banwellarchitects.com,Architecture,Lebanon,New Hampshire,Ingrid,Nichols,President,ingrid@banwellnh.com,Named,Verified - Published Official Document,New Hampshire Department of Education architect contact list,https://www.education.nh.gov/sites/g/files/ehbemt326/files/inline-documents/sonh/architect-contact-list-1-19-24.pdf,2026-09-11
Marinace Architects,https://marinacearchitects.com,Architecture,,New Hampshire,Paul,Marinace,Architect,pmarinace@marinacearchitects.com,Named,Verified - Published Official Document,New Hampshire Department of Education architect contact list,https://www.education.nh.gov/sites/g/files/ehbemt326/files/inline-documents/sonh/architect-contact-list.pdf,2026-09-11
Civil Connection,https://www.civilconnection.net,Engineering,Gilmanton Iron Works,New Hampshire,,,Civil Engineering,info@civilconnection.net,Role-Based,Verified - Published Official Website,Official website,https://www.civilconnection.net/contact,2026-09-11
LifeWater Engineering,https://lifewaterengineering.com,Engineering,Concord,New Hampshire,Bob,,,bob@lifewaterengineering.com,Named,Verified - Published Official Document,State of New Hampshire Governor and Council public document,https://media.sos.nh.gov/govcouncil/2013/1120/47%20GC%20Agenda%20112013.pdf,2026-09-11
