Company Name,Website,Company Type,City,State,Contact First Name,Contact Last Name,Job Title,Email,Email Type,Verification Status,Verification Method,Source URL,Date Verified
Raleigh Architecture Co.,https://www.raleigh-architecture.com,Architecture / Design-Build,Raleigh,NC,,,Architecture and Construction,info@raleigh-architecture.com,Role-Based,Verified - Published Official Website,Official website contact page,https://www.raleigh-architecture.com/contact,2026-09-11
BB+M Architecture,https://www.bbm-arch.com,Architecture,Charlotte,NC,,,General Inquiries,admin@bbm-arch.com,Role-Based,Verified - Published Official Website,Official website contact page,https://www.bbm-arch.com/contact-us,2026-09-11
WKWW Architects,https://wkwwarchitects.com,Architecture,Charlotte,NC,,,Office,wkww@wkwwarchitects.com,Role-Based,Verified - Published Official Website,Official website contact page,https://wkwwarchitects.com/contact-wkww-architects,2026-09-11
McFarland Construction,https://mcfarlandconstructionus.com,Commercial General Contractor / Design-Build,Charlotte,NC,,,General Inquiries,info@mcco-us.com,Role-Based,Verified - Published Official Website,Official website contact page,http://mcfarlandconstructionus.com/contact-us,2026-09-11
Carolina Commercial Contractors,https://carolinacommercialnc.com,Commercial General Contractor,Sanford,NC,,,General Inquiries,info@carolinacommercialnc.com,Role-Based,Verified - Published Official Website,Official website contact page,https://carolinacommercialnc.com/contact,2026-09-11
Commercial Building Inc.,https://commercialbuildingnc.com,Commercial General Contractor / Renovation,Fayetteville,NC,,,Office,cbi@commercialbuildingnc.com,Role-Based,Verified - Published Official Website,Official website contact page,http://commercialbuildingnc.com/contact-us,2026-09-11
CJC Custom Homes,https://www.cjccustomhomes.com,Luxury Custom Homebuilder,Raleigh,NC,,,General Inquiries,info@cjccustomhomes.com,Role-Based,Verified - Published Official Website,Official website contact page,https://www.cjccustomhomes.com/contact.html,2026-09-11
New Old Custom Homes,https://www.newold.com,Luxury Custom Homebuilder,Charlotte,NC,,,Building Inquiries,building@newold.com,Role-Based,Verified - Published Official Website,Official website contact page,https://www.newold.com/contact,2026-09-11
Raleigh Custom Homes,https://raleighcustomhomes.com,Luxury Custom Homebuilder,Raleigh,NC,,,General Inquiries,info@raleighcustomhomes.net,Role-Based,Verified - Published Official Website,Official website contact page,https://raleighcustomhomes.com/contact,2026-09-11
Rock Creek Builders,https://rockcreekbuildersnc.com,Custom Homebuilder / Renovation,Raleigh,NC,James,,Owner / Builder,james@rockcreekbuildersnc.com,Named,Verified - Published Official Website,Official website contact page,https://rockcreekbuildersnc.com/contact,2026-09-11
Carolina Craftsman Builders,https://carolinacraftsmanbuilders.com,Luxury Custom Homebuilder,Charlotte,NC,,,General Inquiries,info@carolinacraftsmanbuilders.com,Role-Based,Verified - Published Official Website,Official website contact page,https://carolinacraftsmanbuilders.com/contact,2026-09-11
Mitchco Custom Builders,https://www.mitchcocustombuilders.com,Custom Homebuilder,Winston-Salem,NC,Geoff,,Builder,geoff@mitchcocustombuilders.com,Named,Verified - Published Official Website,Official website contact page,https://www.mitchcocustombuilders.com/contact-us,2026-09-11
Raleigh Development Company,https://www.raleighdevelopment.com,Commercial Real Estate Developer,Raleigh,NC,,,General Inquiries,info@raleighdevelopment.com,Role-Based,Verified - Published Official Website,Official website contact page,https://www.raleighdevelopment.com/contactrdc,2026-09-11
Harris Development Group,https://harrisdevelopmentgroup.com,Commercial Real Estate Developer,Charlotte,NC,,,General Inquiries,info@harrisdevelopmentgroup.com,Role-Based,Verified - Published Official Website,Official website contact page,https://harrisdevelopmentgroup.com/contact,2026-09-11
Catalyst Capital Partners,https://www.catalystcp.com,Commercial / Multifamily Developer,Charlotte,NC,,,Investor Relations,investorrelations@catalystcp.com,Role-Based,Verified - Published Official Website,Official website contact page,https://www.catalystcp.com/contact-us,2026-09-11
