company_name,website,company_type,city,state,contact_first_name,contact_last_name,job_title,email,email_type,verification_status,verification_method,source_url,date_verified
Mortgage Masters Of Texas,https://mortgagemastersoftexas.com,Real Estate,,Texas,Maria,Cantu Gonzales,Senior Residential Mortgage Loan Officer NMLS# 1964020,owner@mortgagemastersoftexas.com,Named,Verified - Published Official Website,Official website,https://mortgagemastersoftexas.com,2026-09-11
Investone Rei,https://investasone.com,Real Estate,,Texas,,,16dbac528ab14f26a3708c35acfd1d5e,16dbac528ab14f26a3708c35acfd1d5e@investasone.com,Named,Verified - Published Official Website,Official website,https://investasone.com,2026-09-11
Cbd Realty Partners,https://cbdrealtypartners.com,Real Estate,,Texas,,,brad,brad@cbdrealtypartners.com,Named,Verified - Published Official Website,Official website,https://cbdrealtypartners.com,2026-09-11
Jome,https://jome.com,Real Estate,,Texas,Dan,Hnatkovskyy,President and Co-Founder,team@jome.com,Named,Verified - Published Official Website,Official website,https://jome.com/about,2026-09-11
Grant Construction And Remodeling,https://grantconstruct.com,Real Estate,,Texas,,,jim,jim@grantconstruct.com,Named,Verified - Published Official Website,Official website,https://grantconstruct.com,2026-09-11
Agile Capital Group,https://agilecapgroup.com,Real Estate,,Texas,,,info,info@agilecapgroup.com,Role-Based,Verified - Published Official Website,Official website,https://agilecapgroup.com/about-us-2/,2026-09-11
Von Behren Group,https://vonaustin.com,Real Estate,,Texas,,,info,info@vonaustin.com,Role-Based,Verified - Published Official Website,Official website,https://vonaustin.com/contact/,2026-09-11
Orange Commercial,https://orangecommercial.com,Real Estate,,Texas,,,info,info@orangecommercial.com,Role-Based,Verified - Published Official Website,Official website,https://www.orangecommercial.com/,2026-09-11
Second Home Hosting,https://secondhomehosting.com,Real Estate,,Texas,Lina,Shrestha,Founder,lina@secondhomehosting.com,Named,Verified - Published Official Website,Official website,https://www.secondhomehosting.com/,2026-09-11
Price Partners,https://pricepartners.com,Real Estate,,Texas,,,info,info@pricepartners.com,Role-Based,Verified - Published Official Website,Official website,https://pricepartners.com,2026-09-11
Legado Construction Group,https://legadocg.com,Real Estate,,Texas,,,info,info@legadocg.com,Role-Based,Verified - Published Official Website,Official website,https://www.legadocg.com/about,2026-09-11
Bam Remodeling,https://remodelwithbam.com,Real Estate,,Texas,,,info,info@remodelwithbam.com,Role-Based,Verified - Published Official Website,Official website,https://remodelwithbam.com,2026-09-11
Vertique Property Group,https://vpgre.com,Real Estate,,Texas,Carter,Bailey,Founder,carter@vpgre.com,Named,Verified - Published Official Website,Official website,https://www.vpgre.com/team,2026-09-11
Artisan American Corporation,https://artisanamerican.com,Real Estate,,Texas,,,info,info@artisanamerican.com,Role-Based,Verified - Published Official Website,Official website,https://artisanamerican.com,2026-09-11
Lone Star Development Houston,https://lonestardevelopment.com,Real Estate,,Texas,,,admin,admin@lonestardevelopment.com,Role-Based,Verified - Published Official Website,Official website,https://lonestardevelopment.com,2026-09-11
Tdi Real Estate Companies,https://tdire.com,Real Estate,,Texas,,,info,info@tdire.com,Role-Based,Verified - Published Official Website,Official website,https://www.tdire.com/,2026-09-11
Forefront Commercial Real Estate,https://forefront-re.com,Real Estate,,Texas,,,info,info@forefront-re.com,Role-Based,Verified - Published Official Website,Official website,https://forefront-re.com,2026-09-11
Kingdom Legacy Company,https://kingdomlegacycompany.com,Real Estate,,Texas,,,admin,admin@kingdomlegacycompany.com,Role-Based,Verified - Published Official Website,Official website,https://www.kingdomlegacycompany.com/adminteam,2026-09-11
Dosch Marshall Real Estate,https://dmre.com,Real Estate,,Texas,Tripp,Rich,Principal,tim@dmre.com,Named,Verified - Published Official Website,Official website,https://dmre.com/leadership/,2026-09-11
Peach Blossom Properties,https://peachblossomproperties.com,Real Estate,,Texas,Julie,Sandham,Business Owner,julie@peachblossomproperties.com,Named,Verified - Published Official Website,Official website,https://www.peachblossomproperties.com/,2026-09-11
La Tierra Realty,https://latierratx.com,Real Estate,,Texas,,,info,info@latierratx.com,Role-Based,Verified - Published Official Website,Official website,https://latierratx.com,2026-09-11
Ram Capital Texas,https://ramcapitaltx.com,Real Estate,,Texas,Ryan,Miller,Founder & Managing Director,ryan@ramcapitaltx.com,Named,Verified - Published Official Website,Official website,https://www.ramcapitaltx.com/,2026-09-11
Creco,https://crecotx.com,Real Estate,,Texas,,,info,info@crecotx.com,Role-Based,Verified - Published Official Website,Official website,https://www.crecotx.com/,2026-09-11
Holmes Builders,https://holmesbuilders.com,Real Estate,,Texas,,,info,info@holmesbuilders.com,Role-Based,Verified - Published Official Website,Official website,https://www.holmesbuilders.com/contact,2026-09-11
"Angel Valuation Services, L.p.",https://angelappraisals.com,Real Estate,,Texas,Kevin,Angel Mai,Managing Partner,kangel@angelappraisals.com,Named,Verified - Published Official Website,Official website,https://www.angelappraisals.com/,2026-09-11
White House Global Properties,https://whitehouseglobalproperties.com,Real Estate,,Texas,,,info,info@whitehouseglobalproperties.com,Role-Based,Verified - Published Official Website,Official website,https://whitehouseglobalproperties.com,2026-09-11
Gary Group Realty,https://garygrouprealty.com,Real Estate,,Texas,,,cgary,cgary@garygrouprealty.com,Named,Verified - Published Official Website,Official website,https://garygrouprealty.com,2026-09-11
Formation Real Estate,https://formationtx.com,Real Estate,,Texas,,,info,info@formationtx.com,Role-Based,Verified - Published Official Website,Official website,https://formationtx.com/contact/,2026-09-11
Fuller Realty Partners,https://fullertx.com,Real Estate,,Texas,Aaron,Ander,Senior Vice President,kcoleman@fullertx.com,Named,Verified - Published Official Website,Official website,https://fullertx.com/about/,2026-09-11
Tov Lending,https://tovlending.com,Real Estate,,Texas,Jordan,Sutton,President,alanna@tovlending.com,Named,Verified - Published Official Website,Official website,https://www.tovlending.com/contact,2026-09-11
